Time,Mean_Error,a_x,a_y,a_yaw,a_v_cmd,a_w_cmd,a_err_x,a_err_y,b_x,b_y,b_yaw,b_v_cmd,b_w_cmd,b_err_x,b_err_y,c_x,c_y,c_yaw,c_v_cmd,c_w_cmd,c_err_x,c_err_y,d_x,d_y,d_yaw,d_v_cmd,d_w_cmd,d_err_x,d_err_y,e_x,e_y,e_yaw,e_v_cmd,e_w_cmd,e_err_x,e_err_y
5.7e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0499238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0999526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.149921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.199963,0.454323,2.52253,-1.58642,-2.70196,0,0,-0.00850507,-0.35795,2.07489,-0.563425,2.58157,0.0265634,-1,-0.438974,-0.0480678,2.54611,0.644049,-3.05758,0.216028,-1,-0.0124353,-0.0250636,0,0,0,0,0,-0.777969,0.384168,0,0,0,0.24,-0.465569,-0.117799,0.56417
0.250045,0.452319,2.52239,-1.5863,-2.70166,0,0,-0.00441718,-0.358054,2.0748,-0.563365,2.58155,0.0266689,-1,-0.434953,-0.0480297,2.54613,0.644079,-3.05775,0.216069,-1,-0.00837026,-0.0250031,0,0,0,0,0,-0.773986,0.384097,0,0,0,0.24,-0.465425,-0.113982,0.564098
0.30005,0.45044,2.5226,-1.58633,-2.7024,0,0,-0.000378289,-0.358098,2.07483,-0.563399,2.58178,0.0263198,-1,-0.431096,-0.0481387,2.54606,0.644073,-3.05782,0.21624,-1,-0.00428958,-0.0249381,0,0,0,0,0,-0.76986,0.384053,0,0,0,0.24,-0.465213,-0.11002,0.564056
0.349924,0.448771,2.52259,-1.58629,-2.70191,0,0,0.00336789,-0.358185,2.07491,-0.563393,2.58201,0.0263848,-1,-0.426903,-0.0481571,2.54628,0.643943,-3.05857,0.215909,-1,-0.000351292,-0.0251065,0,0,0,0,0,-0.765903,0.384234,0,0,0,0.24,-0.465017,-0.105925,0.564195
0.399938,0.447023,2.52246,-1.58623,-2.7013,0,0,0.00754652,-0.357997,2.07482,-0.563539,2.58137,0.0265706,-1,-0.422837,-0.0480169,2.54745,0.641994,-3.06871,0.217749,-1,0.00399341,-0.0246026,0,0,0,0,0,-0.761928,0.384254,0,0,0,0.24,-0.465194,-0.102017,0.564072
0.449974,0.445547,2.52254,-1.58621,-2.70131,0,0,0.011577,-0.358171,2.07479,-0.563357,2.58194,0.0263823,-1,-0.418847,-0.0479776,2.54854,0.638308,-3.08282,0.22278,-1,0.00850248,-0.0237911,0,0,0,0,0,-0.757972,0.384206,0,0,0,0.24,-0.463073,-0.0978778,0.564314
0.500029,0.444258,2.5226,-1.58627,-2.70154,0,0,0.0154431,-0.357814,2.07488,-0.56341,2.58155,0.0259833,-1,-0.414978,-0.0480245,2.55046,0.634313,-3.09992,0.233921,-1,0.0146059,-0.022195,0,0,0,0,0,-0.75399,0.384067,0,0,0,0.24,-0.456867,-0.0949651,0.564726
0.549912,0.443521,2.52262,-1.58621,-2.7016,0,0,0.019465,-0.357823,2.07473,-0.563562,2.58128,0.0255779,-1,-0.410945,-0.0480846,2.55218,0.627604,-3.12858,0.24,-0.986211,0.0204052,-0.0209352,0,0,0,0,0,-0.750016,0.383979,0,0,0,0.24,-0.444773,-0.0928045,0.566118
0.599954,0.442969,2.52253,-1.58635,-2.70076,0,0,0.0235465,-0.358086,2.07491,-0.56346,2.58136,0.0253348,-1,-0.40694,-0.0480733,2.5516,0.621907,3.13171,0.24,-0.938098,0.0249747,-0.0193551,0,0,0,0,0,-0.746102,0.384115,0,0,0,0.24,-0.428516,-0.0911328,0.568183
0.649929,0.442276,2.52253,-1.58629,-2.70222,0,0,0.0275609,-0.357845,2.07484,-0.563341,2.58225,0.0255088,-1,-0.402924,-0.0480174,2.55092,0.614208,3.09801,0.24,-0.882094,0.0280203,-0.0176473,0,0,0,0,0,-0.742063,0.384184,0,0,0,0.24,-0.410117,-0.0911695,0.570736
