Time,Mean_Error,a_x,a_y,a_yaw,a_v_cmd,a_w_cmd,a_err_x,a_err_y,b_x,b_y,b_yaw,b_v_cmd,b_w_cmd,b_err_x,b_err_y,c_x,c_y,c_yaw,c_v_cmd,c_w_cmd,c_err_x,c_err_y,d_x,d_y,d_yaw,d_v_cmd,d_w_cmd,d_err_x,d_err_y,e_x,e_y,e_yaw,e_v_cmd,e_w_cmd,e_err_x,e_err_y
0.900099,0.382,2.51101,-1.20865,2.87869,0,0,-0.168436,0.020913,2.01709,-0.419098,2.10648,0.163299,-1,-0.527295,-0.00956122,0,0,0,0.24,-0.590658,0.0691858,-0.000416111,1.92883,2.21513,-2.80573,0,0,-0.744147,0.268195,0,0,0,0.24,-0.519738,0.273097,0.223198
0.950077,0.378689,2.51082,-1.20887,2.87808,0,0,-0.164489,0.0210023,2.00502,-0.426651,2.04908,0.18388,-1,-0.519479,-0.00897022,0,0,0,0.24,-0.550639,0.0674349,0.00338359,1.92876,2.21504,-2.80594,0,0,-0.740136,0.267959,0,0,0,0.24,-0.478171,0.272146,0.225439
1.00001,0.375223,2.51114,-1.20888,2.87711,0,0,-0.160317,0.0209687,1.99454,-0.432005,2.00227,0.209476,-1,-0.513592,-0.00804064,0,0,0,0.24,-0.512589,0.0630664,0.0075809,1.9291,2.21491,-2.80681,0,0,-0.735992,0.268129,0,0,0,0.24,-0.430335,0.269106,0.229912
1.04998,0.371157,2.51098,-1.20871,2.87825,0,0,-0.156352,0.0210763,1.98329,-0.43672,1.95246,0.239281,-1,-0.506117,-0.00661733,0,0,0,0.24,-0.475042,0.0588245,0.0124436,1.929,2.21501,-2.80654,0,0,-0.73199,0.268053,0,0,0,0.24,-0.403421,0.263313,0.233913
1.10003,0.368114,2.51107,-1.20881,2.87761,0,0,-0.152232,0.0211825,1.96825,-0.441012,1.89077,0.24,-0.909885,-0.500791,-0.00475002,0,0,0,0.24,-0.449778,0.0558046,0.0163837,1.92872,2.21524,-2.80539,0,0,-0.728032,0.268137,2.89985,2.95032,2.66628,0.24,-0.381705,0.259662,0.237742
1.15002,0.365361,2.51099,-1.20878,2.87802,0,0,-0.148259,0.0210447,1.95287,-0.442368,1.83164,0.24,-0.821171,-0.49502,-0.00250064,2.694,0.745526,2.709,0.24,-0.422721,0.0534669,0.0206078,1.92898,2.21508,-2.8067,0,0,-0.723931,0.267965,2.88786,2.94943,2.64605,0.24,-0.360585,0.256792,0.241917
1.20012,0.362307,2.51105,-1.20874,2.87818,0,0,-0.144376,0.021112,1.9403,-0.441554,1.78392,0.24,-0.720661,-0.489212,0.00182216,2.683,0.746138,2.69584,0.24,-0.396343,0.0479052,0.0260687,1.92866,2.21509,-2.8061,0,0,-0.720097,0.268095,2.87737,2.94945,2.6271,0.24,-0.336725,0.253103,0.246758
1.25007,0.359601,2.51093,-1.20895,2.87671,0.001577,-0.452883,-0.140345,0.0211441,1.92476,-0.43874,1.72553,0.24,-0.638369,-0.483645,0.00838837,2.6712,0.744816,2.66968,0.24,-0.366483,0.0442046,0.0318277,1.929,2.21496,-2.80688,0,0,-0.716347,0.268286,2.86708,2.95001,2.61289,0.24,-0.318176,0.246756,0.25236
1.30012,0.357237,2.51081,-1.2089,2.87754,0.00330413,-0.44021,-0.136584,0.0209809,1.91378,-0.43355,1.68741,0.24,-0.582977,-0.478633,0.0143415,2.66128,0.744996,2.65447,0.24,-0.349006,0.0402284,0.0363043,1.92877,2.21529,-2.8055,0,0,-0.712048,0.267974,2.85659,2.95167,2.59856,0.24,-0.307048,0.244368,0.256346
1.35009,0.355162,2.51056,-1.20919,2.87631,0.00539564,-0.426935,-0.132925,0.0210992,1.90225,-0.425396,1.64378,0.24,-0.525489,-0.473559,0.0233552,2.64911,0.745023,2.63108,0.24,-0.327005,0.0353013,0.0420161,1.92883,2.21517,-2.80552,0,0,-0.708281,0.26798,2.84444,2.95315,2.58549,0.24,-0.286107,0.238757,0.262618
