Time,Mean_Error,a_x,a_y,a_yaw,a_v_cmd,a_w_cmd,a_err_x,a_err_y,b_x,b_y,b_yaw,b_v_cmd,b_w_cmd,b_err_x,b_err_y,c_x,c_y,c_yaw,c_v_cmd,c_w_cmd,c_err_x,c_err_y,d_x,d_y,d_yaw,d_v_cmd,d_w_cmd,d_err_x,d_err_y,e_x,e_y,e_yaw,e_v_cmd,e_w_cmd,e_err_x,e_err_y
7.5e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0499518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0999122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.149945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.199958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25003,0.486644,2.51792,-1.87566,2.22597,0.13217,-0.268197,0.184196,-0.311198,1.95716,-0.601999,-2.71296,0,0,-0.466635,-0.400108,0,0,0,0.24,-0.509323,0.175163,0.0469691,1.86207,1.78163,2.55904,0.134127,-1,-0.539373,0.273259,0,0,0,0.101772,-0.367309,-0.485067,0.463511
0.299984,0.485303,2.51784,-1.87566,2.22636,0.132079,-0.267385,0.191531,-0.311269,1.95715,-0.602399,-2.71488,0,0,-0.459381,-0.399986,0,0,0,0.24,-0.510856,0.182315,0.0466442,1.86208,1.78178,2.55952,0.134096,-1,-0.53195,0.27328,0,0,0,0.101778,-0.367291,-0.477816,0.463514
0.350018,0.48403,2.51781,-1.87545,2.22702,0.132117,-0.269184,0.198839,-0.311183,1.95701,-0.601988,-2.71306,0,0,-0.451788,-0.400072,0,0,0,0.24,-0.510245,0.19005,0.0468702,1.8621,1.78161,2.55906,0.134178,-1,-0.52435,0.273227,0,0,0,0.101879,-0.366981,-0.470259,0.463649
0.400036,0.482546,2.51778,-1.87561,2.22597,0.132126,-0.267759,0.206533,-0.311226,1.95714,-0.602257,-2.7147,0,0,-0.444225,-0.400163,0,0,0,0.24,-0.509848,0.197434,0.0467887,1.86219,1.78164,2.55911,0.135887,-1,-0.515588,0.273152,0,0,0,0.101834,-0.367119,-0.462669,0.463569
0.450031,0.48137,2.51677,-1.87577,2.22189,0.132293,-0.263132,0.214025,-0.310562,1.95718,-0.602206,-2.71447,0,0,-0.436796,-0.399905,0,0,0,0.24,-0.507434,0.204344,0.0469094,1.8621,1.78168,2.5589,0.134443,-1,-0.509326,0.273344,0,0,0,0.101836,-0.367112,-0.455303,0.463578
